id,category,title_en,title_zh,publisher,year,url_en,url_zh,license,local_path,sha256,notes_en,notes_zh
volta_catl_part1,process_summary,Battery Manufacturing Basics from CATL's Cell Production Line (Part 1),宁德时代电芯产线电池制造基础（上）,Volta Foundation,2024,https://volta.foundation/battery-manufacturing-basics-from-catls-cell-production-line-part-1/,,Web article,sources/process_summary/volta_catl_part1.html,,14-step process walkthrough from electrode to formation; CATL-aligned,宁德产线14步工艺概述，从极片到化成
volta_catl_part2,process_summary,Battery Manufacturing Basics from CATL's Cell Production Line (Part 2),宁德时代电芯产线电池制造基础（下）,Volta Foundation,2024,https://volta.foundation/battery-manufacturing-basics-from-catls-cell-production-line-part-2/,,Web article,sources/process_summary/volta_catl_part2.html,,"Aging, grading, module/pack assembly",老化、分容、模组与PACK组装
batterydesign_viscosity,process_summary,Slurry Viscosity in Lithium-Ion Battery Electrode Manufacturing,锂离子电池极片制造中的浆料粘度,BatteryDesign.net,2024,https://www.batterydesign.net/manufacture/cell-manufacturing/battery-cell-manufacturing-process/electrode-manufacturing/coating/rheology/viscosity/,,Web article,sources/process_summary/batterydesign_viscosity.html,,"2,000-10,000 mPa.s anode slurry viscosity range",负极浆料粘度典型区间2000-10000 mPa.s
westphal_2021,electrode_manufacturing,Understanding the effect of coating and drying on lithium-ion battery electrode performance,涂布与干燥对锂离子电池极片性能的影响,University of Warwick (WRAP),2021,https://wrap.warwick.ac.uk/id/eprint/159845/1/WRAP-Understanding-effect-coating-drying-electrode-electrochemical-lithium-ion-batteries-2021.pdf,,Open Access,sources/electrode_manufacturing/westphal_2021.pdf,,"Comma-bar gap 80-300 um, coating speed 0.3-5 m/min, drying T 80-120 C",逗号间隙80-300微米，涂布速度0.3-5米/分，干燥温度80-120摄氏度
reynolds_2024,electrode_manufacturing,Impact of Formulation and Slurry Properties on Lithium-ion Electrode Manufacturing,配方与浆料性质对锂离子极片制造的影响,Batteries & Supercaps (Wiley),2024,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/batt.202300396,,Open Access,sources/electrode_manufacturing/reynolds_2024.html,,"Solid content 30-50 wt%, CMC 1-3%, SBR 1-7%",固含量30-50 wt%，CMC 1-3%，SBR 1-7%
liu_osti_2021,electrode_manufacturing,Review of electrode manufacturing in lithium-ion batteries (OSTI),锂离子电池极片制造综述（OSTI）,OSTI (US DOE),2021,https://www.osti.gov/pages/servlets/purl/1546514,,Open Access,sources/electrode_manufacturing/liu_osti_2021.pdf,,Industrial coating speed up to 50 m/min; drying 1-2 min,工业涂布速度达50米/分，干燥1-2分钟
batterydesign_winding,cell_assembly,Winding and Stacking in Lithium-Ion Cell Assembly,锂离子电芯组装中的卷绕与叠片,BatteryDesign.net,2024,https://www.batterydesign.net/manufacture/cell-manufacturing/battery-cell-manufacturing-process/cell-assembly/,,Web article,sources/cell_assembly/batterydesign_winding.html,,"Z-stacking, jelly-roll, prismatic vs cylindrical",Z字叠片、卷绕、方形与圆柱对比
an_2017_fast_formation,formation,Fast formation cycling for lithium ion batteries,锂离子电池快速化成循环,Journal of Power Sources,2017,https://www.sciencedirect.com/science/article/pii/S0378775317300113,,Open Access,sources/formation/an_2017_fast_formation.html,,C/20 to C/5 rates; alternative protocol shortens formation by 6x,C/20至C/5倍率；替代工艺可缩短化成时间6倍
bar_tal_2023_formation_modeling,formation,Modeling Battery Formation: Boosted SEI Growth and Multi-Species Transport,电池化成建模：增强SEI生长与多组分传输,Journal of The Electrochemical Society,2023,https://iopscience.iop.org/article/10.1149/1945-7111/aceffe,,Open Access,sources/formation/bar_tal_2023.html,,"45 C, 3 cycles C/10 charge-discharge for SEI growth",45摄氏度、3次C/10循环用于SEI生长
dose_2019_sei_transport,formation,Influence of Formation Current Density on Transport Properties of Model-Type SEIs,化成电流密度对模型SEI传输性质的影响,Batteries & Supercaps,2019,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/batt.201900110,,Open Access,sources/formation/dose_2019_sei_transport.html,,Galvanostatic SEI formation at -4 to -71 uA/cm2,恒电流SEI化成电流密度-4到-71 uA/cm2
reichel_2024_aqueous_formation,formation,Effectiveness of Formation Protocols for Aqueous Processed NMC622||Gr Full Cells,水系NMC622||石墨全电池化成工艺评估,Journal of The Electrochemical Society,2024,https://iopscience.iop.org/article/10.1149/1945-7111/ae1dd1,,Open Access,sources/formation/reichel_2024.html,,12 protocols compared; pulse-SEI as fast as 6 h,12种化成工艺对比；脉冲SEI可缩短至6小时
batterydesign_formation_overview,aging_calendar,Formation and Aging in Cell Manufacturing,电芯制造中的化成分容与老化,BatteryDesign.net,2024,https://www.batterydesign.net/manufacture/cell-manufacturing/battery-cell-manufacturing-process/formation-and-aging/,,Web article,sources/aging_calendar/batterydesign_formation_overview.html,,"C/20 aging, capacity grading by dQ/dV",C/20老化、基于dQ/dV的容量分容
